customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,store_id,create_timestamp,update_timestamp
242,Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,NULL,Toulouse,NULL,31000,France,1370,61100.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
209,Mini Caravy,Citeaux,Fr,88.60.1555,24  place Kl,NULL,Strasbourg,NULL,67000,France,1370,53800.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
169,Porto Imports Co.,de Castro,Isabel ,(1) 356-5555,Estrada da sa,NULL,Lisboa,NULL,1756,Portugal,NULL,0.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
125,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtrowa 68,NULL,Warszawa,NULL,01-012,Poland,NULL,0.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
477,Mit Vergn,Moos,Hanna ,0621-08555,Forsterstr. 57,NULL,Mannheim,NULL,68306,Germany,NULL,0.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
348,Asian Treasures  Inc.,McKenna,Patricia ,2967 555,8 Johnstown Road,NULL,Cork,Co. Cork,NULL,Ireland,NULL,0.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
481,Raanan Stores  Inc,Altagar G M,Raanan,+ 972 9 959 8555,3 Hagalim Blv.,NULL,Herzlia,NULL,47625,Israel,NULL,0.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
293,BG&E Collectables,Harrison,Ed,+41 26 425 50 01,Rte des Arsenaux 41 ,NULL,Fribourg,NULL,1700,Switzerland,NULL,0.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
171,Daedalus Designs Imports,Ranc,Martine ,20.16.1555,184  chauss,NULL,Lille,NULL,59000,France,1370,82900.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
256,Auto Associ,Tonini,Daniel ,30.59.8555,67  avenue de l'Europe,NULL,Versailles,NULL,78000,France,1370,77900.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
273,Franken Gifts  Co,Franken,Peter ,089-0877555,Berliner Platz 43,NULL,Manheim,NULL,80805,Germany,NULL,0.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
307,Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,NULL,Berlin,NULL,12209,Germany,NULL,0.00,NULL,2021-10-11 10:38:49,2021-10-11 10:38:49
