customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,store_id,create_timestamp,update_timestamp
443,Feuer Online Stores  Inc,Feuer,Alexander ,0342-555176,Heerstr. 22,NULL,Leipzig,NULL,04179,Germany,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
357,GiftsForHim.com,MacKinlay,Wales,64-9-3763555,199 Great North Road,NULL,Auckland,NULL,NULL,New Zealand,1612,77700.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
465,Anton Designs  Ltd.,Anton,Carmen,+34 913 728555,c/ Gobelas  19-1 Urb. La Florida,NULL,Madrid,NULL,28023,Spain,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
227,Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,NULL,Aalborg,NULL,8200,Denmark,1401,120800.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
480,Kremlin Collectables  Co.,Semenov,Alexander ,+7 812 293 0521,2 Pobedy Square,NULL,Saint Petersburg,NULL,196143,Russia,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
148,Dragon Souveniers  Ltd.,Natividad,Eric,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,NULL,079903,Singapore,1621,103800.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
412,Extreme Desk Decorations  Ltd,McRoy,Sarah,04 499 9555,101 Lambton Quay,Level 11,Wellington,NULL,NULL,New Zealand,1612,86800.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
237,ANG Resellers,Camino,Alejandra ,(91) 745 6555,Gran V,NULL,Madrid,NULL,28001,Spain,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
249,Amica Models & Co.,Accorti,Paolo ,011-4988555,Via Monte Bianco 34,NULL,Torino,NULL,10100,Italy,1401,113000.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
146,Saveley & Henriot  Co.,Saveley,Mary ,78.32.5555,2  rue du Commerce,NULL,Lyon,NULL,69004,France,1337,123900.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
259,Toms Spezialit,Pfalzheim,Henriette ,0221-5554327,Mehrheimerstr. 369,NULL,Karlsruhe,NULL,50739,Germany,1504,120400.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
311,Oulu Toy Supplies  Inc.,Koskitalo,Pirkko,981-443655,Torikatu 38,NULL,Oulu,NULL,90110,Finland,1501,90500.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
415,Bavarian Collectables Imports  Co.,Donnermeyer,Michael, +49 89 61 08 9555,Hansastr. 15,NULL,Munich,NULL,80686,Germany,1504,77000.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
299,Norway Gifts By Mail  Co.,Klaeboe,Jan,+47 2212 1555,Drammensveien 126A,PB 211 Sentrum,Oslo,NULL,N 0106,Norway  ,1504,95100.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
314,Petit Auto,Dewey,Catherine ,(02) 5554 67,Rue Joseph-Bens 532,NULL,Bruxelles,NULL,B-1180,Belgium,1401,79900.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
177,Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,1-6-20 Dojima,NULL,Kita-ku,Osaka, 530-0003,Japan,1621,81200.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
350,Marseille Mini Autos,Lebihan,Laurence ,91.24.4555,12  rue des Bouchers,NULL,Marseille,NULL,13008,France,1337,65000.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
144,Volvo Model Replicas  Co,Berglund,Christina ,0921-12 3555,Berguvsv,NULL,Lule,NULL,S-958 22,Sweden,1504,53100.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
273,Franken Gifts  Co,Franken,Peter ,089-0877555,Berliner Platz 43,NULL,Manheim,NULL,80805,Germany,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
145,Danish Wholesale Imports,Petersen,Jytte ,31 12 3555,Vinb,NULL,Kobenhavn,NULL,1734,Denmark,1401,83400.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
356,SAR Distributors  Co,Kuger,Armand,+27 21 550 3555,1250 Pretorius Street,NULL,Hatfield,Pretoria,0028,South Africa,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
125,Havel & Zbyszek Co,Piestrzeniewicz,Zbyszek ,(26) 642-7555,ul. Filtrowa 68,NULL,Warszawa,NULL,01-012,Poland,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
