employeeNumber,lastName,firstName,extension,email,reportsTo,jobTitle,officeCode,store_id,create_timestamp,update_timestamp
1002,Murphy,Diane,x5800,dmurphy@classicmodelcars.com,NULL,President,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1401,Castillo,Pamela,x2759,pcastillo@classicmodelcars.com,1102,Sales Rep,4,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1621,Nishi,Mami,x101,mnishi@classicmodelcars.com,1056,Sales Rep,5,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1102,Bondur,Gerard,x5408,gbondur@classicmodelcars.com,1056,Sale Manager (EMEA),4,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1501,Bott,Larry,x2311,lbott@classicmodelcars.com,1102,Sales Rep,7,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1504,Jones,Barry,x102,bjones@classicmodelcars.com,1102,Sales Rep,7,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1337,Bondur,Loui,x6493,lbondur@classicmodelcars.com,1102,Sales Rep,4,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1370,Hernandez,Gerard,x2028,ghernande@classicmodelcars.com,1102,Sales Rep,4,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1088,Patterson,William,x4871,wpatterson@classicmodelcars.com,1056,Sales Manager (APAC),6,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1625,Kato,Yoshimi,x102,ykato@classicmodelcars.com,1621,Sales Rep,5,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1612,Marsh,Peter,x102,pmarsh@classicmodelcars.com,1088,Sales Rep,6,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1056,Patterson,Mary,x4611,mpatterso@classicmodelcars.com,1002,VP Sales,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1619,King,Tom,x103,tking@classicmodelcars.com,1088,Sales Rep,6,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1076,Firrelli,Jeff,x9273,jfirrelli@classicmodelcars.com,1002,VP Marketing,1,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
1702,Gerard,Martin,x2312,mgerard@classicmodelcars.com,1102,Sales Rep,4,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
